listing_id,name,host_id,host_name,Boroughs,neighbourhood,price,number_of_reviews,last_review,reviews_per_month,availability_365,Boroughs_ID
8391132,NYC La Guardia Master Room,44213272,Gema,Queens,Ditmars Steinway,55,62,9/20/2017,2.5,358,4.0
8393016,HOME SWEET HOME COZY ROOM,44213272,Gema,Queens,Ditmars Steinway,45,60,9/18/2017,2.42,197,4.0
13427702,Cozy Room for 2 in Astoria!,11791633,Neel,Queens,Ditmars Steinway,65,1,7/13/2016,0.07,0,4.0
7859360,Cozy and Private Room in Heart of Astoria,27289814,Raheem,Queens,Ditmars Steinway,65,48,9/28/2017,1.85,290,4.0
16827715,Private One Bedroom/5 min. walk to train,82339249,Monica,Queens,Ditmars Steinway,85,3,9/4/2017,0.58,84,4.0
3929317,Comfy room minutes from Manhattan!,20356268,Kristin,Queens,Ditmars Steinway,54,70,9/17/2017,1.87,0,4.0
13330683,NYC From Astoria Queens,75443454,Ana,Queens,Ditmars Steinway,100,24,9/25/2017,1.55,321,4.0
8444555,NYC Astoria affordable private room,44213272,Gema,Queens,Ditmars Steinway,40,66,9/5/2017,2.67,349,4.0
8316959,Sun-soaked Oasis in Astoria.,41817016,G. Angela,Queens,Ditmars Steinway,200,5,9/3/2017,0.2,89,4.0
17234796,Astoria 2BR in Quiet Corner Close to Manhattan,261608,Aron,Queens,Ditmars Steinway,60,2,2/26/2017,0.26,0,4.0
764052,1 Bedroom Apartment in quiet area.,2618273,Sabrina,Queens,Ditmars Steinway,390,1,12/27/2016,0.11,15,4.0
12972200,The best of Astoria,71378038,Maya,Queens,Ditmars Steinway,125,3,9/19/2017,0.21,112,4.0
3250448,Clean and Modern Apartment in Calm Area.,16441089,Juan,Queens,Ditmars Steinway,89,134,8/27/2017,3.42,166,4.0
8365172,BEST Location in Heart of Astoria!!,44089351,Cristiano,Queens,Ditmars Steinway,45,119,10/1/2017,4.79,345,4.0
