,City_name,Name,Review,Service_name,Type
64,STATEN%20ISLAND,Ralph’s Italian Ice’s,4.0,Entertainment, Italian 
65,STATEN%20ISLAND,Pizzeria Giove,4.0,Entertainment," Cajun/Creole, Southern, Diners "
66,STATEN%20ISLAND,Bayou,4.0,Entertainment, Peruvian 
67,STATEN%20ISLAND,Incas Grill Peruvian kitchen,4.5,Entertainment," Bars, Barbeque "
68,QUEENS,Craft House,5.0,restaurants," Gastropubs, Tapas Bars, Breakfast & Brunch "
69,QUEENS,The Alcove,4.5,restaurants, Thai 
70,QUEENS,Kin’d,4.0,restaurants," Gastropubs, Cocktail Bars, Beer Bar "
71,QUEENS,Forest Hills Station House,4.5,restaurants," Vietnamese, Sandwiches, Asian Fusion "
72,QUEENS,JoJu,4.5,restaurants," Peruvian, Cocktail Bars, Tapas Bars "
73,QUEENS,Jora Restaurant & Bar,4.0,restaurants, Thai 
74,QUEENS,SriPraPhai Thai Restaurant,4.5,restaurants," Cajun/Creole, Seafood, Bars "
75,QUEENS,Oceanic Boil,4.0,restaurants," Vietnamese, Cocktail Bars "
76,QUEENS,District Saigon,4.0,restaurants," Cajun/Creole, Southern, Breakfast & Brunch "
77,QUEENS,Sugar Freak,4.5,restaurants," Greek, Falafel, Seafood "
78,QUEENS,Nicks Bistro,4.5,restaurants, Pizza 
79,QUEENS,Macoletta,4.0,restaurants," Wine Bars, Breakfast & Brunch "
80,QUEENS,Jack & Nellie’s,4.0,restaurants," Shanghainese, Specialty Food, Noodles "
81,QUEENS,Nan Xiang Xiao Long Bao,4.0,restaurants," Breakfast & Brunch, American (New), Comfort Food "
82,QUEENS,Queens Comfort,4.5,restaurants, Thai 
83,QUEENS,Kitchen 79,4.0,restaurants," Latin American, Cuban "
84,QUEENS,Cabana,4.0,restaurants," Caribbean, Desserts, Seafood "
85,QUEENS,The Door,4.0,restaurants," Breakfast & Brunch, American (New), Whiskey Bars "
86,QUEENS,Sanfords Astoria,4.5,restaurants," American (New), Hawaiian, Tiki Bars "
87,QUEENS,The Highwater,4.0,restaurants," Barbeque, Burgers "
88,QUEENS,Butcher Bar,4.0,restaurants," Seafood, Greek, Mediterranean "
89,QUEENS,Taverna Kyclades,4.5,restaurants," Mediterranean, Kosher, Georgian "
90,QUEENS,Marani,4.0,restaurants," Seafood, Cajun/Creole "
91,QUEENS,Naked Crab,4.5,restaurants," Chinese, Taiwanese "
92,QUEENS,Mama Lee,4.5,restaurants, Cuban 
93,QUEENS,Rincon Criollo,4.5,restaurants, Himalayan/Nepalese 
94,QUEENS,Momo Crave,4.0,restaurants, Korean 
95,QUEENS,Hahm Ji Bach,4.0,restaurants," Ramen, Sushi Bars "
96,QUEENS,Hashi Ramen & Izakaya,4.5,restaurants, Filipino 
97,QUEENS,Papa’s Kitchen,4.5,restaurants, Korean 
98,QUEENS,Dae Sung Kal Guk Su,5.0,restaurants," Gastropubs, Tapas Bars, Breakfast & Brunch "
99,QUEENS,The Alcove,4.5,restaurants, Thai 
100,QUEENS,Kin’d,4.0,restaurants," Gastropubs, Cocktail Bars, Beer Bar "
101,QUEENS,Forest Hills Station House,4.5,restaurants," Vietnamese, Sandwiches, Asian Fusion "
102,QUEENS,JoJu,4.5,restaurants," Peruvian, Cocktail Bars, Tapas Bars "
103,QUEENS,Jora Restaurant & Bar,4.0,restaurants, Thai 
104,QUEENS,SriPraPhai Thai Restaurant,4.5,restaurants," Cajun/Creole, Seafood, Bars "
105,QUEENS,Oceanic Boil,4.0,restaurants," Vietnamese, Cocktail Bars "
106,QUEENS,District Saigon,4.0,restaurants," Cajun/Creole, Southern, Breakfast & Brunch "
107,QUEENS,Sugar Freak,4.5,restaurants," Greek, Falafel, Seafood "
108,QUEENS,Nicks Bistro,4.5,restaurants, Pizza 
109,QUEENS,Macoletta,4.0,restaurants," Wine Bars, Breakfast & Brunch "
110,QUEENS,Jack & Nellie’s,4.0,restaurants," Shanghainese, Specialty Food, Noodles "
111,QUEENS,Nan Xiang Xiao Long Bao,4.0,restaurants," Breakfast & Brunch, American (New), Comfort Food "
112,QUEENS,Queens Comfort,4.5,restaurants, Thai 
113,QUEENS,Kitchen 79,4.0,restaurants," Latin American, Cuban "
114,QUEENS,Cabana,4.0,restaurants," Caribbean, Desserts, Seafood "
115,QUEENS,The Door,4.0,restaurants," Breakfast & Brunch, American (New), Whiskey Bars "
116,QUEENS,Sanfords Astoria,4.5,restaurants," American (New), Hawaiian, Tiki Bars "
117,QUEENS,The Highwater,4.0,restaurants," Barbeque, Burgers "
118,QUEENS,Butcher Bar,4.0,restaurants," Seafood, Greek, Mediterranean "
119,QUEENS,Taverna Kyclades,4.5,restaurants," Mediterranean, Kosher, Georgian "
120,QUEENS,Marani,4.0,restaurants," Seafood, Cajun/Creole "
121,QUEENS,Naked Crab,4.5,restaurants," Chinese, Taiwanese "
122,QUEENS,Mama Lee,4.5,restaurants, Cuban 
123,QUEENS,Rincon Criollo,4.5,restaurants, Himalayan/Nepalese 
124,QUEENS,Momo Crave,4.0,restaurants, Korean 
125,QUEENS,Hahm Ji Bach,4.0,restaurants," Ramen, Sushi Bars "
126,QUEENS,Hashi Ramen & Izakaya,4.5,restaurants, Filipino 
127,QUEENS,Papa’s Kitchen,4.5,restaurants, Korean 
128,QUEENS,Dae Sung Kal Guk Su,5.0,restaurants," Gastropubs, Tapas Bars, Breakfast & Brunch "
129,QUEENS,The Alcove,4.5,restaurants, Thai 
130,QUEENS,Kin’d,4.0,restaurants," Gastropubs, Cocktail Bars, Beer Bar "
131,QUEENS,Forest Hills Station House,4.5,restaurants," Vietnamese, Sandwiches, Asian Fusion "
132,QUEENS,JoJu,4.5,restaurants," Peruvian, Cocktail Bars, Tapas Bars "
133,QUEENS,Jora Restaurant & Bar,4.0,restaurants, Thai 
134,QUEENS,SriPraPhai Thai Restaurant,4.5,restaurants," Cajun/Creole, Seafood, Bars "
135,QUEENS,Oceanic Boil,4.0,restaurants," Vietnamese, Cocktail Bars "
136,QUEENS,District Saigon,4.0,restaurants," Cajun/Creole, Southern, Breakfast & Brunch "
137,QUEENS,Sugar Freak,4.5,restaurants," Greek, Falafel, Seafood "
138,QUEENS,Nicks Bistro,4.5,restaurants, Pizza 
139,QUEENS,Macoletta,4.0,restaurants," Wine Bars, Breakfast & Brunch "
140,QUEENS,Jack & Nellie’s,4.0,restaurants," Shanghainese, Specialty Food, Noodles "
141,QUEENS,Nan Xiang Xiao Long Bao,4.0,restaurants," Breakfast & Brunch, American (New), Comfort Food "
142,QUEENS,Queens Comfort,4.5,restaurants, Thai 
143,QUEENS,Kitchen 79,4.0,restaurants," Latin American, Cuban "
144,QUEENS,Cabana,4.0,restaurants," Caribbean, Desserts, Seafood "
145,QUEENS,The Door,4.0,restaurants," Breakfast & Brunch, American (New), Whiskey Bars "
146,QUEENS,Sanfords Astoria,4.5,restaurants," American (New), Hawaiian, Tiki Bars "
147,QUEENS,The Highwater,4.0,restaurants," Barbeque, Burgers "
148,QUEENS,Butcher Bar,4.0,restaurants," Seafood, Greek, Mediterranean "
149,QUEENS,Taverna Kyclades,4.5,restaurants," Mediterranean, Kosher, Georgian "
150,QUEENS,Marani,4.0,restaurants," Seafood, Cajun/Creole "
151,QUEENS,Naked Crab,4.5,restaurants," Chinese, Taiwanese "
152,QUEENS,Mama Lee,4.5,restaurants, Cuban 
153,QUEENS,Rincon Criollo,4.5,restaurants, Himalayan/Nepalese 
154,QUEENS,Momo Crave,4.0,restaurants, Korean 
155,QUEENS,Hahm Ji Bach,4.0,restaurants," Ramen, Sushi Bars "
156,QUEENS,Hashi Ramen & Izakaya,4.5,restaurants, Filipino 
157,QUEENS,Papa’s Kitchen,4.5,restaurants, Korean 
158,QUEENS,Dae Sung Kal Guk Su,5.0,restaurants," Gastropubs, Tapas Bars, Breakfast & Brunch "
159,QUEENS,The Alcove,4.5,restaurants, Thai 
160,QUEENS,Kin’d,4.0,restaurants," Gastropubs, Cocktail Bars, Beer Bar "
161,QUEENS,Forest Hills Station House,4.5,restaurants," Vietnamese, Sandwiches, Asian Fusion "
162,QUEENS,JoJu,4.5,restaurants," Peruvian, Cocktail Bars, Tapas Bars "
163,QUEENS,Jora Restaurant & Bar,4.0,restaurants, Thai 
164,QUEENS,SriPraPhai Thai Restaurant,4.5,restaurants," Cajun/Creole, Seafood, Bars "
165,QUEENS,Oceanic Boil,4.0,restaurants," Vietnamese, Cocktail Bars "
166,QUEENS,District Saigon,4.0,restaurants," Cajun/Creole, Southern, Breakfast & Brunch "
167,QUEENS,Sugar Freak,4.5,restaurants," Greek, Falafel, Seafood "
168,QUEENS,Nicks Bistro,4.5,restaurants, Pizza 
169,QUEENS,Macoletta,4.0,restaurants," Wine Bars, Breakfast & Brunch "
170,QUEENS,Jack & Nellie’s,4.0,restaurants," Shanghainese, Specialty Food, Noodles "
171,QUEENS,Nan Xiang Xiao Long Bao,4.0,restaurants," Breakfast & Brunch, American (New), Comfort Food "
172,QUEENS,Queens Comfort,4.5,restaurants, Thai 
173,QUEENS,Kitchen 79,4.0,restaurants," Latin American, Cuban "
174,QUEENS,Cabana,4.0,restaurants," Caribbean, Desserts, Seafood "
175,QUEENS,The Door,4.0,restaurants," Breakfast & Brunch, American (New), Whiskey Bars "
176,QUEENS,Sanfords Astoria,4.5,restaurants," American (New), Hawaiian, Tiki Bars "
177,QUEENS,The Highwater,4.0,restaurants," Barbeque, Burgers "
178,QUEENS,Butcher Bar,4.0,restaurants," Seafood, Greek, Mediterranean "
